frame,rep,stage,knee_angle,hip_angle
2010,1,down,68.63,95.38
2025,1,up,160.26,158.37
2092,2,down,67.77,89.85
2098,2,up,179.63,177.36
2104,3,down,137.93,141.76
2110,3,up,147.82,148.75
2182,4,down,103.66,64.39
2193,4,up,152.66,153.25
2318,5,down,90.44,81.29
2335,5,up,155.4,149.98
2356,6,down,83.16,51.61
2370,6,up,152.9,161.95
2466,7,down,67.91,94.62
2480,7,up,149.92,150.92
2548,8,down,66.78,89.27
2563,8,up,152.39,153.22
2632,9,down,80.6,101.16
2646,9,up,151.1,150.67
2718,10,down,77.34,96.4
2724,10,up,179.71,176.51
2800,11,down,75.8,96.68
2813,11,up,153.68,154.67
2883,12,down,62.25,78.63
2897,12,up,152.8,152.73
2963,13,down,73.41,96.97
2977,13,up,161.89,158.78
3045,14,down,76.43,95.43
3051,14,up,179.85,176.79
3057,15,down,138.12,139.82
3063,15,up,150.08,147.91
3130,16,down,87.88,50.27
3141,16,up,152.65,152.75
3258,17,down,82.55,73.38
3274,17,up,156.63,151.35
3291,18,down,95.06,81.11
3306,18,up,152.43,161.59
3456,19,down,114.67,46.05
3464,19,up,152.61,157.94
3586,20,down,96.62,87.6
3597,20,up,154.94,148.92
3614,21,down,94.23,74.83
3627,21,up,150.72,157.09
3744,22,down,90.15,79.47
3750,22,up,173.84,179.74
3947,23,down,95.33,89.09
3961,23,up,155.08,149.83
4034,24,down,94.65,89.21
4046,24,up,151.41,147.97
4119,25,down,95.46,89.2
4131,25,up,153.47,149.45
4734,26,down,94.13,90.93
4743,26,up,151.45,149.44
4909,27,down,94.76,88.59
4922,27,up,154.45,149.14
4993,28,down,94.71,88.79
5005,28,up,151.28,148.25
5159,29,down,96.14,90.45
5170,29,up,154.64,151.86
5238,30,down,95.13,89.81
5253,30,up,154.09,151.73
5325,31,down,93.85,87.85
5337,31,up,151.57,147.99
5790,32,down,44.23,176.28
5799,32,up,140.84,178.75
5931,33,down,93.52,91.31
5945,33,up,152.35,152.27
5968,34,down,54.61,175.95
5978,34,up,144.42,177.81
6747,35,down,46.05,176.46
6756,35,up,140.65,178.35
6887,36,down,93.43,91.99
6902,36,up,152.25,152.2
6925,37,down,56.56,175.9
6935,37,up,144.01,178.19
6981,38,down,95.53,92.53
6993,38,up,154.01,152.67
7104,39,down,55.1,176.14
7114,39,up,147.56,176.09
7281,40,down,41.74,175.71
7290,40,up,143.68,176.87
7413,41,down,76.79,78.3
7429,41,up,159.8,157.49
7521,42,down,41.39,42.48
7527,42,up,165.15,163.17
7568,43,down,95.1,93.95
7581,43,up,152.96,153.69
7601,44,down,67.33,70.92
7619,44,up,150.43,168.39
7661,45,down,95.87,92.86
7672,45,up,155.13,151.97
7753,46,down,95.63,92.73
7765,46,up,150.98,148.15
7788,47,down,62.01,65.8
7799,47,up,177.35,174.05
7868,48,down,76.51,77.79
7884,48,up,162.59,160.52
8023,49,down,88.35,89.18
8031,49,up,151.84,152.61
8072,50,down,48.74,49.03
8078,50,up,178.58,140.4
8264,51,down,49.8,49.49
8270,51,up,178.65,167.4
8411,52,down,93.43,91.65
8423,52,up,155.74,153.52
8443,53,down,73.66,82.28
8460,53,up,146.03,161.89
8504,54,down,91.63,88.66
8516,54,up,153.81,153.86
8597,55,down,94.06,92.49
8609,55,up,152.72,153.8
8629,56,down,88.42,93.32
8649,56,up,152.47,169.78
8688,57,down,86.81,83.74
8704,57,up,154.3,151.13
8785,58,down,86.24,83.69
8801,58,up,150.88,148.47
8825,59,down,65.44,68.9
8843,59,up,151.24,165.57
8988,60,down,94.3,91.52
8999,60,up,151.54,149.96
9022,61,down,69.95,74.86
9040,61,up,146.16,161.29
9488,62,down,92.55,96.57
9500,62,up,152.29,156.26
10333,63,down,92.82,96.64
10346,63,up,152.48,156.54
10801,64,down,90.13,94.96
10817,64,up,151.77,155.4
10980,65,down,96.11,92.13
10986,65,up,164.07,160.41
11064,66,down,93.91,92.63
11073,66,up,151.09,149.87
11151,67,down,95.49,90.6
11163,67,up,151.06,151.01
11326,68,down,96.21,91.27
11336,68,up,154.68,151.92
11515,69,down,94.83,93.26
11521,69,up,155.14,153.63
11548,70,down,123.82,9.8
11554,70,up,173.45,175.65
11596,71,down,94.28,93.19
11602,71,up,151.26,151.13
11849,72,down,94.46,91.92
11855,72,up,152.35,150.35
12105,73,down,96.12,90.71
12116,73,up,151.91,151.69
12276,74,down,94.79,90.14
12282,74,up,128.76,124.26
12360,75,down,97.13,89.22
12372,75,up,154.06,150.48
12439,76,down,92.28,87.48
12455,76,up,154.87,152.9
12527,77,down,94.23,90.08
12538,77,up,155.01,153.46
12614,78,down,95.93,92.31
12625,78,up,154.82,151.6
12696,79,down,93.91,84.27
12712,79,up,152.99,149.41
12809,80,down,82.39,83.88
12815,80,up,179.19,170.39
13168,81,down,81.85,78.36
13185,81,up,177.38,170.23
13261,82,down,82.12,83.82
13267,82,up,179.06,170.21
13436,83,down,81.05,83.14
13442,83,up,178.8,171.24
13607,84,down,80.4,83.48
13613,84,up,179.11,172.32
13749,85,down,85.92,86.18
13761,85,up,151.52,150.89
13783,86,down,78.61,82.27
13789,86,up,178.95,170.33
13929,87,down,96.46,91.0
13939,87,up,152.4,148.9
14138,88,down,81.77,77.97
14155,88,up,176.13,169.53
14318,89,down,88.43,82.9
14335,89,up,173.5,167.31
14469,90,down,95.52,92.17
14475,90,up,152.09,149.41
14516,91,down,94.34,88.21
14522,91,up,162.58,164.24
14687,92,down,88.25,80.56
14702,92,up,176.08,163.88
14740,93,down,92.45,89.31
14747,93,up,154.48,150.5
14772,94,down,67.31,10.81
14778,94,up,178.32,172.36
14784,95,down,85.16,69.49
14790,95,up,163.87,150.9
14824,96,down,94.94,87.7
14836,96,up,152.98,148.78
14865,97,down,116.29,39.78
14873,97,up,142.48,173.16
14910,98,down,96.88,88.93
14921,98,up,155.19,151.6
14996,99,down,95.35,89.87
15002,99,up,176.99,173.61
15056,100,down,77.61,70.29
15065,100,up,179.57,173.32
15189,101,down,94.64,91.13
15196,101,up,154.22,150.02
15222,102,down,79.94,0.8
15228,102,up,173.96,8.1
15307,103,down,50.02,15.51
15314,103,up,172.31,176.66
15437,104,down,89.52,85.8
15447,104,up,152.11,149.15
15479,105,down,47.0,54.92
15485,105,up,158.46,152.22
15519,106,down,92.42,89.31
15527,106,up,151.09,148.5
15554,107,down,42.85,28.09
15560,107,up,176.37,172.14
15602,108,down,96.46,89.9
15615,108,up,152.5,148.57
15643,109,down,116.29,39.38
15651,109,up,142.18,173.45
15687,110,down,96.85,88.71
15698,110,up,155.17,150.99
15768,111,down,88.92,84.27
15779,111,up,152.68,151.92
15811,112,down,100.72,42.94
15821,112,up,150.96,161.22
15850,113,down,92.4,82.59
15866,113,up,156.5,149.3
15939,114,down,96.73,89.58
15950,114,up,153.71,150.32
15978,115,down,100.57,35.43
15988,115,up,149.34,159.55
16023,116,down,96.09,89.26
16034,116,up,155.86,151.22
16106,117,down,96.61,89.38
16116,117,up,155.11,150.14
16147,118,down,111.3,42.45
16156,118,up,149.52,159.49
