frame,rep,stage,knee_angle,hip_angle
756,1,down,93.11,90.38
778,1,up,150.54,150.14
859,2,down,94.18,93.26
890,2,up,151.25,151.48
968,3,down,92.97,90.13
999,3,up,152.21,152.29
1107,4,down,93.41,89.86
1131,4,up,150.92,151.47
1218,5,down,95.12,90.08
1247,5,up,151.46,150.84
1328,6,down,94.68,93.56
1359,6,up,151.56,151.79
1437,7,down,93.59,90.77
1467,7,up,151.14,150.57
1542,8,down,93.42,92.22
1570,8,up,151.8,152.58
1647,9,down,95.91,92.2
1670,9,up,149.92,150.44
1742,10,down,91.01,88.57
1773,10,up,153.39,148.98
1847,11,down,93.47,91.18
1880,11,up,152.24,150.73
1953,12,down,95.97,91.84
1984,12,up,152.03,148.32
2056,13,down,95.72,91.17
2088,13,up,152.91,150.24
6439,14,down,97.02,89.42
6452,14,up,161.0,136.41
6594,15,down,97.58,81.14
6628,15,up,154.13,143.54
6711,16,down,96.33,79.91
6748,16,up,152.8,148.54
6870,17,down,97.29,82.47
6901,17,up,154.63,140.14
6975,18,down,96.52,78.72
7009,18,up,152.33,146.38
7094,19,down,96.66,80.15
7133,19,up,154.88,143.16
7216,20,down,98.83,82.18
7255,20,up,151.43,147.62
7341,21,down,94.47,76.82
7374,21,up,154.06,141.73
7463,22,down,96.14,79.63
7501,22,up,152.69,147.74
7600,23,down,97.72,80.4
7634,23,up,154.22,143.45
7718,24,down,95.55,76.73
7755,24,up,154.04,148.15
7838,25,down,97.83,81.38
7872,25,up,154.07,143.88
7955,26,down,96.53,79.92
7992,26,up,152.63,148.44
10072,27,down,109.66,59.46
10080,27,up,171.75,172.77
10165,28,down,98.35,79.5
10175,28,up,174.99,169.8
10479,29,down,125.89,22.88
10486,29,up,168.67,171.78
10663,30,down,97.88,78.46
10674,30,up,173.4,170.34
10854,31,down,100.07,68.54
10864,31,up,168.84,167.66
11054,32,down,122.48,23.53
11061,32,up,158.94,170.32
11141,33,down,94.18,61.18
11148,33,up,176.97,172.05
11242,34,down,125.06,21.87
11252,34,up,167.04,172.11
11334,35,down,97.52,52.86
11341,35,up,159.21,168.33
12323,36,down,96.83,88.91
12338,36,up,154.42,145.63
12410,37,down,96.89,85.02
12422,37,up,154.2,143.93
12622,38,down,96.45,91.5
12644,38,up,151.51,151.72
12710,39,down,95.25,91.09
12764,39,up,151.3,152.85
13058,40,down,94.36,92.48
13083,40,up,151.05,150.4
13149,41,down,94.02,92.78
13212,41,up,151.31,150.04
13316,42,down,96.11,91.75
13339,42,up,151.58,151.75
13405,43,down,95.64,91.91
13459,43,up,151.43,153.13
13553,44,down,95.38,91.71
13576,44,up,152.47,152.92
13773,45,down,95.35,91.43
13794,45,up,151.98,154.93
13851,46,down,96.55,89.84
13902,46,up,152.19,151.11
14228,47,down,95.39,85.51
14235,47,up,172.75,160.71
14289,48,down,70.43,61.97
14297,48,up,160.55,149.23
14630,49,down,97.2,87.8
14637,49,up,150.77,139.7
14692,50,down,94.62,86.55
14699,50,up,173.57,160.66
14757,51,down,95.53,85.65
14764,51,up,170.62,159.0
14882,52,down,97.11,87.8
14889,52,up,169.39,155.5
