frame,rep,stage,knee_angle,hip_angle
63,1,down,94.41,90.48
91,1,up,150.02,156.63
137,2,down,93.2,88.52
163,2,up,149.9,154.93
215,3,down,62.8,59.96
233,3,up,154.4,156.18
284,4,down,63.96,61.12
302,4,up,150.24,152.37
345,5,down,96.86,86.13
370,5,up,153.68,156.93
413,6,down,95.41,86.1
437,6,up,150.07,152.57
481,7,down,93.07,84.45
504,7,up,152.81,155.96
545,8,down,97.73,87.68
568,8,up,153.08,154.82
615,9,down,91.1,81.5
633,9,up,152.49,154.12
676,10,down,90.26,81.57
698,10,up,154.19,155.58
741,11,down,93.41,82.34
763,11,up,151.98,153.51
1022,12,down,95.63,88.02
1033,12,up,149.96,158.11
1077,13,down,96.73,85.13
1101,13,up,154.17,158.02
1144,14,down,66.54,86.79
1167,14,up,152.51,154.25
1216,15,down,56.96,51.32
1236,15,up,149.23,153.93
1280,16,down,92.94,81.05
1303,16,up,149.75,152.54
1351,17,down,93.73,81.32
1376,17,up,149.86,151.12
1425,18,down,96.87,84.26
1450,18,up,152.06,154.45
1494,19,down,93.96,82.87
1518,19,up,153.07,156.08
1563,20,down,94.22,84.04
1588,20,up,150.87,154.66
1634,21,down,93.28,83.19
1659,21,up,151.83,155.52
1705,22,down,92.08,80.96
1731,22,up,152.08,158.35
1782,23,down,63.76,84.69
1803,23,up,151.15,152.62
1852,24,down,95.74,83.61
1877,24,up,150.84,153.98
1926,25,down,94.51,86.05
1950,25,up,150.42,152.35
1997,26,down,95.41,84.71
2021,26,up,150.09,150.95
2071,27,down,97.37,86.26
2097,27,up,154.23,155.2
2148,28,down,95.04,86.97
2174,28,up,151.76,152.5
2222,29,down,95.66,86.27
2245,29,up,152.87,153.25
2293,30,down,97.87,87.02
2319,30,up,151.48,148.35
2371,31,down,94.81,85.04
2397,31,up,153.18,155.02
2445,32,down,93.38,83.19
2471,32,up,152.27,155.3
2519,33,down,95.99,86.44
2547,33,up,153.52,152.47
2602,34,down,95.03,86.71
2630,34,up,152.2,152.69
2683,35,down,97.47,86.13
2709,35,up,150.99,152.49
2763,36,down,61.58,54.56
2789,36,up,151.42,148.68
2848,37,down,64.22,84.94
2874,37,up,153.77,152.82
2933,38,down,60.16,55.97
2954,38,up,153.69,153.75
3003,39,down,95.38,83.71
3027,39,up,150.72,148.97
3086,40,down,60.09,56.89
3108,40,up,151.31,152.47
3161,41,down,93.43,84.38
3187,41,up,150.45,150.06
3247,42,down,94.53,83.79
3273,42,up,153.63,153.92
3342,43,down,65.21,89.83
3359,43,up,150.52,150.87
3416,44,down,90.93,79.84
3440,44,up,152.62,152.43
3489,45,down,57.19,53.51
3510,45,up,154.82,156.38
3554,46,down,91.09,83.14
3579,46,up,152.8,152.44
3634,47,down,58.12,51.87
3654,47,up,150.54,151.78
3705,48,down,61.46,58.34
3731,48,up,153.66,152.7
3784,49,down,94.63,85.73
3809,49,up,149.6,151.48
3863,50,down,98.03,87.44
3891,50,up,149.3,154.0
3951,51,down,97.36,86.52
3980,51,up,153.01,155.9
4038,52,down,93.77,83.92
4064,52,up,151.88,154.34
4118,53,down,94.69,84.12
4146,53,up,152.35,155.12
4210,54,down,57.74,54.96
4232,54,up,151.71,152.52
4289,55,down,93.88,83.73
4317,55,up,152.03,152.22
4376,56,down,93.44,83.32
4403,56,up,149.46,153.32
4459,57,down,96.03,85.79
4487,57,up,152.79,154.86
4542,58,down,64.01,86.75
4567,58,up,150.2,153.73
4623,59,down,93.23,82.01
4649,59,up,149.87,151.55
4714,60,down,76.27,72.91
4730,60,up,152.15,155.19
4787,61,down,53.75,50.92
4810,61,up,152.68,154.02
4867,62,down,90.41,83.05
4895,62,up,151.38,151.9
4973,63,down,90.85,84.65
4992,63,up,150.29,149.39
